,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC001,3,0,4,3,4,2,3,1,1
1,MB16CC001,1,6,1,4,1,1,0,0,0
2,MB16CC001,8,8,7,1,1,1,0,0,0
3,MB16CC001,2,4,5,2,3,0,1,1,1
4,MB16CC001,9,8,1,4,1,1,0,0,0
5,MB16CC001,7,1,6,2,3,0,1,1,1
6,MB16CC001,8,8,7,1,1,1,0,0,0
7,MB16CC001,5,3,3,0,5,0,1,1,1
8,MB16CC001,2,4,5,2,3,0,1,1,1
9,MB16CC001,2,4,5,2,3,0,1,1,1
10,MB16CC001,8,8,7,1,2,4,0,2,0
11,MB16CC001,2,4,5,2,3,0,1,1,1
12,MB16CC001,2,4,5,2,3,0,1,1,1
13,MB16CC001,1,6,1,4,1,1,0,0,0
14,MB16CC001,2,4,5,2,3,0,1,1,1
15,MB16CC001,2,4,5,2,3,0,1,1,1
16,MB16CC001,7,1,6,2,3,0,1,1,1
17,MB16CC001,8,8,7,1,1,1,0,0,0
18,MB16CC001,1,6,1,4,1,1,0,0,0
19,MB16CC001,1,6,1,4,1,1,0,0,0
20,MB16CC001,8,8,7,1,2,4,0,2,0
21,MB16CC001,9,6,1,4,1,1,1,0,0
22,MB16CC001,2,4,5,2,3,0,1,1,1
23,MB16CC001,7,1,6,2,3,0,1,1,1
24,MB16CC001,2,4,5,2,3,0,1,1,1
25,MB16CC001,2,4,5,2,3,0,1,1,1
26,MB16CC001,7,1,6,2,3,0,1,1,1
27,MB16CC001,1,6,1,4,1,1,0,0,0
28,MB16CC001,9,6,1,4,1,1,1,0,0
29,MB16CC001,2,4,5,2,3,0,1,1,1
30,MB16CC002,0,2,0,6,2,4,0,2,0
31,MB16CC002,9,1,6,2,3,1,1,0,1
32,MB16CC002,9,6,1,4,1,1,0,0,0
33,MB16CC002,1,6,1,4,1,1,0,0,0
34,MB16CC002,1,6,1,4,1,1,0,0,0
35,MB16CC002,1,6,1,4,1,1,0,0,0
36,MB16CC002,1,6,1,4,1,1,0,0,0
37,MB16CC002,1,6,1,4,1,1,0,0,0
