Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,1,1,6,5,0,1,1,2,1
1119.0,6,4,4,6,3,1,1,2,1
1316.0,7,0,1,2,0,1,1,2,1
1452.0,0,5,5,2,0,1,1,2,1
1453.0,0,0,1,2,0,1,1,2,1
1454.0,1,1,6,5,1,0,0,1,1
1461.0,1,1,6,5,1,0,0,1,0
1463.0,0,1,6,5,0,1,1,2,1
1468.0,1,1,6,5,0,1,1,2,1
1472.0,0,0,1,2,0,1,1,2,1
1539.0,0,0,1,2,0,1,1,2,1
1578.0,1,1,6,5,1,0,0,1,0
1583.0,7,5,5,0,0,1,1,2,1
1587.0,7,5,5,0,0,1,1,2,1
1588.0,4,6,3,1,2,2,2,0,1
1589.0,0,5,5,0,0,1,1,2,1
1590.0,7,5,5,0,0,1,1,2,1
1592.0,0,5,1,2,0,1,1,2,1
1598.0,1,1,6,5,1,0,1,2,1
1747.0,0,0,1,2,0,1,1,2,1
1752.0,7,5,5,0,0,1,1,2,1
1755.0,0,5,5,0,0,1,1,2,1
1788.0,7,5,5,0,0,1,1,2,1
1858.0,7,5,5,0,0,1,1,2,1
1953.0,4,5,5,1,2,1,1,0,1
1963.0,1,1,6,5,1,0,0,1,0
