Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,6,7,0,6,2,4,0,2,0
1119.0,4,5,2,5,0,3,2,1,1
1316.0,6,7,7,6,2,4,0,2,0
1452.0,1,6,1,4,1,1,0,0,0
1453.0,1,6,1,4,1,1,0,0,0
1454.0,3,0,4,3,4,2,0,1,1
1461.0,3,0,4,3,4,2,3,1,1
1463.0,4,5,2,5,2,4,0,1,1
1468.0,0,2,0,6,2,4,0,2,0
1472.0,7,6,1,2,1,0,0,0,0
1539.0,1,8,1,4,1,1,0,0,0
1578.0,3,0,4,3,4,2,3,1,1
1583.0,1,6,1,4,1,1,0,0,0
1587.0,8,1,7,2,3,0,0,1,0
1588.0,2,4,5,2,3,0,1,1,1
1589.0,0,2,0,6,2,4,0,2,0
1590.0,8,6,1,4,1,1,0,0,0
1592.0,6,7,0,6,2,4,0,2,0
1598.0,3,0,4,3,1,1,0,1,0
1747.0,1,6,1,4,1,1,0,0,0
1752.0,0,2,0,6,2,4,0,2,0
1755.0,0,6,0,6,2,4,0,2,0
1788.0,6,7,0,6,2,4,0,2,0
1858.0,8,8,7,1,2,4,0,2,0
1953.0,5,3,3,0,5,0,1,1,0
1963.0,3,0,4,3,4,2,3,1,1
