Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,5,0,1,1,1,2,2,0,1
1119.0,5,0,1,1,1,2,2,0,1
1316.0,5,0,1,1,1,2,2,0,1
1452.0,0,1,0,0,0,3,1,1,0
1453.0,0,1,0,0,0,3,1,1,0
1454.0,5,0,1,1,1,2,2,0,1
1461.0,5,0,1,1,1,2,2,0,1
1463.0,5,0,1,1,1,2,2,0,1
1468.0,5,0,1,1,1,2,2,0,1
1472.0,0,1,0,0,0,3,1,1,0
1539.0,0,1,0,0,0,3,1,1,0
1578.0,5,0,1,1,1,2,2,0,1
1583.0,0,1,0,0,0,3,1,1,0
1587.0,0,1,0,0,0,3,1,1,0
1588.0,0,1,0,0,0,3,1,1,0
1589.0,5,0,1,1,1,2,2,0,1
1590.0,0,1,0,0,0,3,1,1,0
1592.0,5,0,1,1,1,2,2,0,1
1598.0,5,0,1,1,1,2,2,0,1
1747.0,0,1,0,0,0,3,1,1,0
1752.0,0,1,0,0,0,3,1,1,0
1755.0,0,1,0,0,0,3,1,1,0
1788.0,0,1,0,0,0,3,1,1,0
1858.0,0,1,0,0,0,3,1,1,0
1953.0,0,1,0,0,0,3,1,1,0
1963.0,5,0,1,1,1,2,2,0,1
