Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,2,8,0,2,2,2,0,0,1
1119.0,5,7,5,5,5,1,2,2,1
1316.0,2,8,0,6,1,3,1,0,1
1452.0,0,6,1,6,1,3,1,0,1
1453.0,0,1,6,6,1,3,1,0,1
1454.0,6,4,2,3,0,1,2,2,1
1461.0,6,4,2,3,0,1,2,2,1
1463.0,5,6,2,6,1,1,2,2,1
1468.0,1,5,2,3,0,1,2,2,1
1472.0,0,1,6,6,1,3,1,0,1
1539.0,8,6,1,6,1,3,1,0,1
1578.0,6,4,2,3,0,1,2,2,1
1583.0,8,6,1,6,1,3,1,0,1
1587.0,8,6,1,6,1,3,1,0,1
1588.0,3,3,4,4,3,0,3,0,1
1589.0,2,8,0,6,1,3,1,0,1
1590.0,8,6,1,6,1,3,1,0,1
1592.0,2,8,0,2,2,2,0,1,0
1598.0,2,8,0,6,1,3,1,0,1
1747.0,8,6,1,6,1,3,1,0,1
1752.0,2,6,1,6,1,3,1,0,1
1755.0,2,8,0,6,1,3,1,0,1
1788.0,2,8,0,2,2,2,0,0,1
1858.0,8,6,1,6,1,3,1,0,1
1953.0,4,0,3,1,4,4,3,2,1
1963.0,6,4,2,3,0,1,2,2,1
