Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,8,0,7,0,0,4,1,2,1
1119.0,4,2,4,4,5,2,2,0,1
1316.0,8,0,7,0,0,4,1,2,1
1452.0,0,5,2,6,1,0,0,1,0
1453.0,0,5,2,6,1,0,0,1,0
1454.0,6,8,3,2,2,3,3,0,1
1461.0,6,8,3,2,2,3,3,0,1
1463.0,4,8,7,2,0,4,2,0,1
1468.0,6,8,3,2,0,4,1,2,1
1472.0,0,5,2,6,1,0,0,1,1
1539.0,0,5,2,6,1,0,0,1,0
1578.0,6,8,3,2,2,3,3,0,1
1583.0,0,5,2,6,1,0,0,1,0
1587.0,0,5,2,6,1,0,0,1,0
1588.0,9,6,6,5,4,1,2,0,1
1589.0,1,7,7,0,0,4,1,2,1
1590.0,0,5,2,6,1,0,0,1,0
1592.0,8,0,7,0,0,4,1,2,1
1598.0,8,0,7,0,0,4,1,0,1
1747.0,0,5,2,6,1,0,0,1,0
1752.0,1,7,7,0,0,4,1,2,1
1755.0,1,7,7,0,0,4,1,2,1
1788.0,8,0,7,0,0,4,1,2,1
1858.0,7,3,0,1,1,0,0,1,1
1953.0,3,4,5,3,3,1,2,0,1
1963.0,6,8,3,2,2,3,3,0,1
