Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,4,7,7,0,5,1,0,0,1
1119.0,4,4,6,6,3,4,1,2,1
1316.0,5,8,4,3,0,1,0,0,1
1452.0,7,8,4,3,0,1,0,0,1
1453.0,7,8,4,3,0,1,0,2,0
1454.0,3,5,2,2,1,1,0,0,1
1461.0,3,5,2,2,1,2,3,1,1
1463.0,4,4,6,3,0,1,0,0,1
1468.0,5,2,0,0,5,1,0,0,1
1472.0,8,3,1,1,4,0,2,2,0
1539.0,7,8,4,3,0,1,0,0,1
1578.0,3,5,2,2,1,2,3,1,1
1583.0,7,8,4,3,0,1,0,0,1
1587.0,8,3,1,1,4,0,2,2,1
1588.0,1,6,3,4,2,3,2,2,0
1589.0,7,8,4,3,0,1,0,0,1
1590.0,7,8,4,3,0,1,0,0,1
1592.0,9,7,7,0,5,1,0,0,1
1598.0,3,5,4,3,0,1,0,0,1
1747.0,7,8,4,3,0,1,0,2,1
1752.0,8,8,1,3,0,1,0,0,1
1755.0,5,8,7,3,0,1,0,0,1
1788.0,9,8,4,0,5,1,0,0,1
1858.0,0,2,0,3,0,1,0,0,1
1953.0,6,0,5,5,2,3,0,2,0
1963.0,3,5,2,2,1,2,3,1,1
