Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,4,1,0,1,0,0,0,0,0
1119.0,4,1,2,2,2,3,3,2,1
1316.0,1,0,1,5,1,1,0,0,0
1452.0,1,0,1,5,1,1,0,0,0
1453.0,1,0,1,5,5,2,1,1,1
1454.0,0,4,6,4,3,4,0,0,0
1461.0,0,4,6,4,3,4,2,1,1
1463.0,4,1,1,5,1,1,0,0,1
1468.0,3,8,1,5,1,1,0,0,0
1472.0,5,2,3,0,5,2,1,1,1
1539.0,1,0,1,5,1,1,0,0,0
1578.0,0,4,6,4,3,4,2,1,1
1583.0,1,0,1,5,1,1,0,0,0
1587.0,1,2,3,5,5,2,1,1,1
1588.0,2,5,7,6,4,2,1,1,1
1589.0,1,0,1,5,1,1,0,0,0
1590.0,1,0,1,5,1,1,0,0,0
1592.0,7,3,0,1,0,0,0,0,0
1598.0,7,3,0,1,0,1,0,0,0
1747.0,1,0,1,5,1,1,0,0,0
1752.0,1,0,1,5,1,2,0,0,0
1755.0,1,0,1,5,1,1,0,0,0
1788.0,1,0,1,5,1,1,0,0,0
1858.0,3,0,1,5,1,1,0,0,0
1953.0,6,7,4,3,5,2,1,1,1
1963.0,0,4,6,4,3,4,2,1,1
