Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,1,6,3,0,2,1,0,0,1
1119.0,4,0,0,6,3,4,3,0,1
1316.0,4,8,4,6,0,1,0,0,1
1452.0,8,4,6,1,0,1,0,0,1
1453.0,8,4,6,1,3,1,0,0,1
1454.0,9,6,3,0,2,0,2,1,1
1461.0,9,6,3,0,2,0,2,1,1
1463.0,8,6,3,0,2,1,0,0,1
1468.0,9,6,3,0,2,0,2,0,1
1472.0,2,1,1,2,3,4,3,0,1
1539.0,8,4,6,1,0,1,0,0,1
1578.0,9,6,3,0,2,0,2,1,1
1583.0,3,8,4,4,0,1,0,0,1
1587.0,3,8,4,4,0,1,0,0,1
1588.0,2,1,1,2,4,2,1,2,0
1589.0,3,8,4,4,0,1,0,0,1
1590.0,3,8,4,4,0,1,0,0,1
1592.0,3,8,4,4,0,1,0,0,1
1598.0,9,6,3,0,2,0,2,0,1
1747.0,8,4,6,1,0,1,0,0,1
1752.0,3,8,4,4,0,1,0,0,1
1755.0,8,4,6,1,0,1,0,0,1
1788.0,3,8,4,4,0,1,0,0,1
1858.0,8,4,6,4,0,1,0,0,1
1953.0,2,1,1,2,4,2,1,0,1
1963.0,9,6,3,0,2,0,2,1,1
