Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,0,0,0,6,0,0,0,2,1
1119.0,0,0,0,6,0,0,0,2,1
1316.0,0,0,0,6,0,0,0,2,1
1452.0,0,0,0,6,0,0,0,2,1
1453.0,2,1,5,0,1,1,2,1,0
1454.0,0,0,0,6,0,0,0,2,1
1461.0,0,0,0,6,0,0,0,2,1
1463.0,0,0,0,6,0,0,0,2,1
1468.0,0,0,0,6,0,0,0,2,1
1472.0,2,1,5,0,1,1,2,1,0
1539.0,2,1,5,6,1,1,0,2,1
1578.0,0,0,0,6,0,0,0,2,1
1583.0,2,1,5,0,1,1,2,1,0
1587.0,2,1,5,0,1,1,2,1,0
1588.0,2,1,5,0,1,1,2,1,0
1589.0,0,0,0,6,0,0,0,2,1
1590.0,2,1,5,0,1,1,2,1,0
1592.0,0,0,0,6,0,0,0,2,1
1598.0,0,0,0,6,0,0,0,2,1
1747.0,2,1,5,0,1,1,2,1,0
1752.0,0,0,0,6,0,0,0,2,1
1755.0,0,0,0,6,0,0,0,2,1
1788.0,0,0,0,6,0,0,0,2,1
1858.0,2,0,0,6,0,0,0,2,1
1953.0,2,1,5,0,1,1,2,1,0
1963.0,0,0,0,6,0,0,0,2,1
