,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
0,MB16CC001,6,4,2,3,0,1,2,2,1
1,MB16CC001,0,1,6,6,1,3,1,0,1
2,MB16CC001,8,6,1,6,1,3,1,0,1
3,MB16CC001,9,3,4,4,3,0,3,2,1
4,MB16CC001,8,6,1,6,1,3,1,0,1
5,MB16CC001,3,3,4,4,3,0,3,0,1
6,MB16CC001,8,6,1,6,1,3,1,0,1
7,MB16CC001,4,0,3,1,4,4,3,2,1
8,MB16CC001,3,3,4,4,3,0,3,0,1
9,MB16CC001,3,3,4,4,3,0,3,0,1
10,MB16CC001,8,6,1,6,1,3,1,0,1
11,MB16CC001,3,3,4,4,3,0,3,0,1
12,MB16CC001,3,3,4,4,3,0,3,0,1
13,MB16CC001,0,1,6,6,1,3,1,0,1
14,MB16CC001,3,3,4,4,3,0,3,0,1
15,MB16CC001,3,3,4,4,3,0,3,0,1
16,MB16CC001,9,3,4,4,3,0,3,0,1
17,MB16CC001,8,6,1,6,1,3,1,0,1
18,MB16CC001,8,6,1,6,1,3,1,0,1
19,MB16CC001,0,1,6,6,1,3,1,0,1
20,MB16CC001,8,6,1,6,1,3,1,0,1
21,MB16CC001,4,0,3,1,4,4,3,2,1
22,MB16CC001,3,3,4,4,3,0,3,0,1
23,MB16CC001,3,3,4,4,3,0,3,0,1
24,MB16CC001,3,3,4,4,3,0,3,0,1
25,MB16CC001,3,3,4,4,3,0,3,0,1
26,MB16CC001,3,3,4,4,3,0,3,0,1
27,MB16CC001,0,1,6,6,1,3,1,0,1
28,MB16CC001,0,1,6,6,1,3,1,0,1
29,MB16CC001,3,3,4,4,3,0,3,0,1
30,MB16CC002,7,2,7,0,2,2,0,1,0
31,MB16CC002,0,1,6,6,1,3,1,0,1
32,MB16CC002,0,1,6,6,1,3,1,0,1
33,MB16CC002,8,6,1,6,1,3,1,0,1
34,MB16CC002,8,6,1,6,1,3,1,0,1
35,MB16CC002,8,6,1,6,1,3,1,0,1
36,MB16CC002,8,6,1,6,1,3,1,0,1
37,MB16CC002,8,6,1,6,1,3,1,0,1
38,MB16CC002,8,6,1,6,1,3,1,0,1
39,MB16CC002,8,6,1,6,1,3,1,0,1
40,MB16CC002,8,6,1,6,1,3,1,0,1
41,MB16CC002,8,6,1,6,1,3,1,0,1
42,MB16CC002,4,0,3,1,4,4,3,2,1
43,MB16CC002,8,6,1,6,1,3,1,0,1
44,MB16CC002,0,6,1,6,1,3,1,0,1
45,MB16CC002,3,3,4,4,3,0,3,0,1
46,MB16CC002,3,3,4,4,3,0,3,0,1
47,MB16CC002,8,6,1,6,1,3,1,0,1
48,MB16CC002,8,6,1,6,1,3,1,0,1
49,MB16CC002,0,1,6,6,1,3,1,0,1
50,MB16CC002,4,0,3,1,4,4,3,2,1
51,MB16CC002,0,6,1,6,1,3,1,0,1
52,MB16CC002,0,1,6,6,1,3,1,0,1
53,MB16CC002,8,6,1,6,1,3,1,0,1
54,MB16CC002,8,6,1,6,1,3,1,0,1
55,MB16CC002,8,6,1,6,1,3,1,0,1
56,MB16CC002,3,3,4,4,3,0,3,0,1
57,MB16CC002,8,6,1,6,1,3,1,0,1
58,MB16CC002,3,3,4,4,3,0,3,0,1
59,MB16CC002,8,6,1,6,1,3,1,0,1
60,MB16CC002,7,2,7,0,2,2,0,1,0
61,MB16CC003,0,1,6,6,1,3,1,0,1
62,MB16CC003,8,6,1,6,1,3,1,0,1
63,MB16CC003,8,6,1,6,1,3,1,0,1
64,MB16CC003,0,6,1,6,1,3,1,0,1
65,MB16CC003,8,6,1,6,1,3,1,0,1
66,MB16CC003,8,6,1,6,1,3,1,0,1
67,MB16CC003,8,6,1,6,1,3,1,0,1
68,MB16CC003,0,1,6,6,1,3,1,0,1
69,MB16CC003,0,1,6,6,1,3,1,0,1
70,MB16CC003,8,6,1,6,1,3,1,0,1
71,MB16CC003,0,6,1,6,1,3,1,0,1
72,MB16CC003,3,3,4,4,3,0,3,0,1
73,MB16CC003,0,1,6,6,1,3,1,0,1
74,MB16CC003,8,6,1,6,1,3,1,0,1
75,MB16CC003,8,6,1,6,1,3,1,0,1
76,MB16CC003,8,6,1,6,1,3,1,0,1
77,MB16CC003,8,6,1,6,1,3,1,0,1
78,MB16CC003,8,6,1,6,1,3,1,0,1
79,MB16CC003,7,2,7,0,1,3,1,0,0
80,MB16CC003,8,6,1,0,1,3,1,0,1
81,MB16CC003,8,6,1,6,1,3,1,0,1
82,MB16CC003,8,6,1,6,1,3,1,0,1
83,MB16CC003,7,2,7,0,2,2,0,1,0
84,MB16CC003,8,6,1,6,1,3,1,0,1
85,MB16CC003,9,0,3,1,4,4,3,2,1
86,MB16CC003,7,2,7,0,2,2,0,1,0
87,MB16CC003,4,0,3,1,4,4,3,2,1
88,MB16CC003,8,6,1,6,1,3,1,0,1
89,MB16CC003,0,6,1,6,1,3,1,0,1
90,MB16CC003,8,6,1,6,1,3,1,0,1
91,MB16CC004,8,6,1,6,1,3,1,0,1
92,MB16CC004,8,6,1,6,1,3,1,0,1
93,MB16CC004,8,6,1,6,1,3,1,0,1
94,MB16CC004,8,6,1,6,1,3,1,0,1
95,MB16CC004,8,6,1,6,1,3,1,0,1
96,MB16CC004,0,1,6,6,1,3,1,0,1
97,MB16CC004,0,1,6,6,1,3,1,0,1
98,MB16CC004,8,6,1,6,1,3,1,0,1
99,MB16CC004,7,2,7,0,1,3,1,0,1
100,MB16CC004,8,6,1,6,1,3,1,0,1
101,MB16CC004,7,2,7,0,2,2,0,1,0
102,MB16CC004,8,6,1,6,1,3,1,0,1
103,MB16CC004,8,6,1,6,1,3,1,0,1
104,MB16CC004,0,6,1,6,1,3,1,0,1
105,MB16CC004,0,6,1,6,1,3,1,0,1
106,MB16CC004,0,1,6,6,1,3,1,0,1
107,MB16CC004,9,3,4,4,3,0,3,0,1
108,MB16CC004,8,6,1,6,1,3,1,0,1
109,MB16CC004,8,6,1,6,1,3,1,0,1
110,MB16CC004,2,8,0,2,2,2,0,1,0
111,MB16CC004,0,1,6,6,1,3,1,0,1
112,MB16CC004,8,6,1,6,1,3,1,0,1
113,MB16CC004,0,6,1,6,1,3,1,0,1
114,MB16CC004,8,6,1,6,1,3,1,0,1
115,MB16CC004,8,6,1,6,1,3,1,0,1
116,MB16CC004,7,2,7,0,2,2,0,1,0
117,MB16CC004,8,6,1,6,1,3,1,0,1
118,MB16CC004,8,6,1,6,1,3,1,0,1
119,MB16CC004,7,2,7,0,2,2,0,1,0
120,MB16CC004,3,3,4,4,3,0,3,0,1
121,MB16CC005,3,3,4,4,3,0,3,0,1
122,MB16CC005,3,3,4,4,3,0,3,0,1
123,MB16CC005,0,1,6,6,1,3,1,0,1
124,MB16CC005,9,3,4,4,3,0,3,0,1
125,MB16CC005,3,3,4,4,3,0,3,0,1
126,MB16CC005,8,6,1,6,1,3,1,0,1
127,MB16CC005,3,3,4,4,3,0,3,0,1
128,MB16CC005,3,3,4,4,3,0,3,0,1
129,MB16CC005,3,3,4,4,3,0,3,0,1
130,MB16CC005,3,3,4,4,3,0,3,0,1
131,MB16CC005,0,1,6,6,1,3,1,0,1
132,MB16CC005,3,3,4,4,3,0,3,0,1
133,MB16CC005,4,0,3,1,4,4,3,2,1
134,MB16CC005,0,1,6,6,1,3,1,0,1
135,MB16CC005,0,1,6,6,1,3,1,0,1
136,MB16CC005,3,3,4,4,3,0,3,0,1
137,MB16CC005,0,1,6,6,1,3,1,0,1
138,MB16CC005,0,1,6,6,1,3,1,0,1
139,MB16CC005,0,1,6,6,1,3,1,0,1
140,MB16CC005,0,1,6,6,1,3,1,0,1
141,MB16CC005,0,1,6,6,1,3,1,0,1
142,MB16CC005,7,2,7,0,2,2,0,1,0
143,MB16CC005,0,1,6,6,1,3,1,0,1
144,MB16CC005,0,1,6,6,1,3,1,0,1
145,MB16CC005,3,3,4,4,3,0,3,0,1
146,MB16CC005,0,1,6,6,1,3,1,0,1
147,MB16CC005,0,1,6,6,1,3,1,0,1
148,MB16CC005,0,1,6,6,1,3,1,0,1
149,MB16CC005,3,3,4,4,3,0,3,0,1
150,MB16CC005,0,1,6,6,1,3,1,0,1
151,MB16CC005,3,3,4,4,3,0,3,0,1
152,MB16CC005,0,1,6,6,1,3,1,0,1
153,MB16CC005,0,6,1,6,1,3,1,0,1
154,MB16CC005,9,1,6,6,1,3,1,0,1
155,MB16CC005,9,1,6,6,1,3,1,0,1
156,MB16CC005,8,6,1,6,1,3,1,0,1
157,MB16CC005,9,3,4,4,3,0,3,0,1
158,MB16CC005,4,0,3,1,4,4,3,2,1
159,MB16CC005,0,1,6,6,1,3,1,0,1
160,MB16CC005,0,1,6,6,1,3,1,0,1
161,MB16CC005,3,3,4,4,3,0,3,0,1
162,MB16CC005,0,1,6,6,1,3,1,0,1
163,MB16CC006,3,3,4,4,3,0,3,0,1
164,MB16CC006,0,1,6,6,1,3,1,0,1
165,MB16CC006,0,1,6,6,1,3,1,0,1
166,MB16CC006,3,3,4,4,3,0,3,0,1
167,MB16CC006,0,1,6,6,1,3,1,0,1
168,MB16CC006,0,1,6,6,1,3,1,0,1
169,MB16CC006,0,1,6,6,1,3,1,0,1
170,MB16CC006,0,1,6,6,1,3,1,0,1
171,MB16CC006,9,1,6,6,1,3,1,0,1
172,MB16CC006,0,1,6,6,1,3,1,0,1
173,MB16CC006,0,1,6,6,1,3,1,0,1
174,MB16CC006,3,3,4,4,3,0,3,0,1
175,MB16CC006,0,1,6,6,1,3,1,0,1
176,MB16CC006,0,1,6,6,1,3,1,0,1
177,MB16CC006,9,1,6,4,3,0,3,0,1
178,MB16CC007,4,0,3,1,4,4,3,2,1
179,MB16CC007,3,3,4,4,3,0,3,0,1
180,MB16CC007,0,6,1,6,1,3,1,0,1
181,MB16CC007,8,6,1,6,1,3,1,0,1
182,MB16CC007,8,6,1,6,1,3,1,0,1
183,MB16CC007,9,0,3,1,4,4,3,2,1
184,MB16CC007,9,0,3,1,4,4,3,2,1
185,MB16CC007,8,6,1,6,1,3,1,0,1
186,MB16CC007,2,8,0,2,2,2,0,1,0
187,MB16CC007,9,3,4,4,3,0,3,2,1
188,MB16CC007,3,3,4,4,3,0,3,0,1
189,MB16CC007,2,8,0,2,2,2,0,1,0
190,MB16CC007,2,8,0,2,2,2,0,1,0
191,MB16CC007,3,3,4,4,3,0,3,0,1
192,MB16CC007,3,3,4,4,3,0,3,0,1
193,MB16CC007,9,0,3,1,4,4,3,2,1
194,MB16CC007,3,3,4,4,3,0,3,0,1
195,MB16CC007,3,3,4,4,3,0,3,0,1
196,MB16CC007,8,6,1,6,1,3,1,0,1
197,MB16CC007,9,3,4,4,3,0,3,0,1
198,MB16CC007,2,8,0,2,2,2,0,1,0
199,MB16CC007,0,6,1,6,1,3,1,0,1
200,MB16CC007,0,1,6,6,1,3,1,0,1
201,MB16CC007,8,6,1,6,1,3,1,0,1
202,MB16CC007,7,2,7,0,1,3,1,0,1
203,MB16CC007,0,1,6,6,1,3,1,0,1
204,MB16CC007,4,0,3,1,4,4,3,2,1
205,MB16CC007,4,0,3,1,4,4,3,2,1
206,MB16CC007,4,0,3,1,4,4,3,2,1
207,MB16CC007,0,1,6,6,1,3,1,0,1
208,MB16CC008,0,1,6,6,1,3,1,0,1
