Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,4,1,4,3,0,2,2,0,0
1119.0,4,3,3,6,3,3,1,2,0
1316.0,6,5,1,3,0,2,2,0,0
1452.0,7,2,7,1,2,1,0,1,1
1453.0,7,2,7,1,2,1,0,1,1
1454.0,5,6,2,3,4,4,2,2,0
1461.0,5,6,2,2,4,4,1,2,0
1463.0,7,2,7,3,0,2,1,2,0
1468.0,7,2,7,1,2,1,0,1,0
1472.0,3,0,6,4,5,0,3,1,1
1539.0,7,2,7,1,2,1,0,1,1
1578.0,5,6,2,2,4,4,1,2,0
1583.0,7,2,7,1,2,1,0,1,1
1587.0,7,2,7,1,5,1,3,1,1
1588.0,8,7,5,5,5,0,3,2,0
1589.0,7,5,1,3,0,2,2,0,0
1590.0,7,2,7,1,2,1,0,1,1
1592.0,9,5,1,3,0,2,2,0,0
1598.0,7,1,7,3,2,1,0,1,0
1747.0,7,2,7,1,2,1,0,1,0
1752.0,1,5,7,3,0,2,2,0,0
1755.0,7,1,7,3,0,2,2,0,0
1788.0,1,1,4,3,0,2,2,0,0
1858.0,7,2,7,1,2,1,0,1,1
1953.0,2,4,0,0,1,0,3,2,0
1963.0,5,6,2,2,4,4,1,2,0
