Mouse #,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
1.0,3,3,3,0,2,0,1,1,0
1119.0,2,0,2,2,2,0,2,2,0
1316.0,3,3,3,0,1,3,1,1,1
1452.0,3,3,3,0,1,3,1,1,1
1453.0,0,3,3,1,3,2,0,0,0
1454.0,2,0,2,2,2,0,2,2,0
1461.0,2,0,2,2,2,0,2,2,0
1463.0,2,0,2,2,2,0,2,2,0
1468.0,2,0,2,2,2,0,2,2,0
1472.0,0,2,0,1,3,3,1,0,0
1539.0,3,3,3,0,1,3,1,1,1
1578.0,2,0,2,2,2,0,2,2,0
1583.0,3,3,3,0,1,3,1,1,1
1587.0,3,3,3,0,1,3,1,1,1
1588.0,0,2,0,1,3,2,0,0,0
1589.0,3,3,3,0,1,3,1,1,1
1590.0,3,3,3,0,1,3,1,1,1
1592.0,3,3,3,0,1,3,1,1,1
1598.0,2,0,2,2,2,0,2,2,0
1747.0,3,3,3,0,1,3,1,1,1
1752.0,3,3,3,0,1,3,1,1,1
1755.0,3,3,3,0,1,3,1,1,1
1788.0,3,3,3,0,1,3,1,1,1
1858.0,3,3,3,0,1,3,1,1,1
1953.0,0,2,0,1,3,2,0,0,0
1963.0,2,0,2,2,2,0,2,2,0
