,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
102,MB16CC007,1,3,2,1,5,4,0,2,1
103,MB16CC007,1,3,2,1,1,0,0,2,1
104,MB16CC007,0,2,0,6,1,2,2,2,0
105,MB16CC007,7,0,4,4,0,0,2,2,0
106,MB16CC007,0,2,0,4,0,2,2,0,0
107,MB16CC007,5,7,2,1,1,0,2,2,1
108,MB16CC007,0,2,0,4,0,2,2,0,0
109,MB16CC008,7,0,4,4,0,0,2,0,0
110,MB16CC008,7,0,4,4,0,0,2,0,0
111,MB16CC008,0,2,0,4,0,0,2,2,0
112,MB16CC008,7,0,2,4,0,0,0,2,1
113,MB16CC008,7,0,4,4,0,0,2,2,0
114,MB16CC008,1,3,2,1,5,4,0,2,1
115,MB16CC008,5,2,0,6,1,0,2,2,1
116,MB16CC008,4,1,3,1,1,0,2,1,1
117,MB16CC008,1,3,2,3,0,4,0,2,1
118,MB16CC008,5,7,0,4,1,0,2,2,1
119,MB16CC008,5,7,2,1,1,0,2,2,1
120,MB16CC008,1,3,2,1,1,0,0,2,1
121,MB16CC008,5,7,2,1,1,0,2,2,1
122,MB16CC008,5,7,2,1,1,0,2,2,1
123,MB16CC008,5,7,2,4,0,0,2,2,1
124,MB16CC008,5,7,2,4,0,0,0,2,1
125,MB16CC008,4,1,3,6,1,1,1,1,1
126,MB16CC008,0,2,0,6,4,2,2,0,0
127,MB16CC008,4,1,3,6,1,1,1,1,1
128,MB16CC008,5,7,2,1,1,0,2,2,1
129,MB16CC008,1,7,2,1,1,0,2,2,1
130,MB16CC008,7,0,4,4,0,3,0,2,0
131,MB16CC008,1,3,2,1,1,4,0,2,1
132,MB16CC008,4,2,0,6,1,2,2,1,1
133,MB16CC008,5,2,0,6,1,0,2,2,1
134,MB16CC008,5,7,2,4,0,0,2,2,1
135,MB16CC008,5,1,3,1,1,0,2,1,1
136,MB16CC008,8,3,1,3,5,4,0,2,1
137,MB16CC008,0,2,4,4,0,2,3,0,0
138,MB16CC008,7,0,4,4,0,3,3,0,0
139,MB16CC008,5,7,2,1,1,0,2,2,1
140,MB16CC009,5,7,2,1,1,0,2,2,1
141,MB16CC009,7,0,4,4,0,0,2,0,0
142,MB16CC009,7,0,4,3,0,3,0,2,0
143,MB16CC009,5,7,0,1,1,0,2,2,1
144,MB16CC009,5,7,2,4,0,0,2,2,1
145,MB16CC009,7,0,4,4,0,0,0,2,0
146,MB16CC009,0,2,5,6,4,2,2,1,0
147,MB16CC009,4,1,3,6,1,1,1,1,1
148,MB16CC009,5,7,2,1,1,0,2,2,1
149,MB16CC009,1,3,2,1,0,4,0,2,1
150,MB16CC009,1,3,2,1,5,4,0,2,1
151,MB16CC009,5,7,0,4,1,0,2,2,1
152,MB16CC009,4,7,3,6,1,0,2,1,1
153,MB16CC009,5,7,0,1,1,0,2,2,1
154,MB16CC009,5,7,2,1,1,0,2,2,1
155,MB16CC009,5,7,3,6,1,0,2,1,1
156,MB16CC009,5,7,0,1,1,0,2,2,1
157,MB16CC009,7,7,0,4,0,0,2,2,0
158,MB16CC009,5,7,2,4,0,0,2,2,1
159,MB16CC009,5,7,2,1,1,0,2,2,1
160,MB16CC009,5,7,2,1,1,0,2,2,1
161,MB16CC009,5,7,2,1,1,0,2,2,1
162,MB16CC009,5,7,2,4,0,0,2,2,1
163,MB16CC009,5,7,2,1,1,0,2,2,1
164,MB16CC009,5,1,3,1,1,1,1,1,1
165,MB16CC009,1,3,2,1,0,0,0,2,1
166,MB16CC009,5,1,3,1,1,0,2,1,1
167,MB16CC009,0,2,0,4,4,2,2,0,0
168,MB16CC009,0,2,0,6,1,0,2,2,1
169,MB16CC009,1,3,2,1,0,4,0,2,1
170,MB16CC009,4,2,3,6,1,2,1,1,1
171,MB16CC009,4,1,3,5,2,1,1,1,1
172,MB16CC010,1,3,2,1,1,0,0,2,1
173,MB16CC010,7,0,4,4,0,4,0,2,1
174,MB16CC010,5,7,2,1,1,0,2,2,1
175,MB16CC010,7,0,4,4,0,0,0,2,1
176,MB16CC010,5,7,2,1,1,0,2,2,1
177,MB16CC010,1,7,2,1,1,0,2,2,1
178,MB16CC010,5,7,2,1,1,0,2,2,1
179,MB16CC010,7,7,2,4,0,0,2,2,1
180,MB16CC010,7,0,4,4,0,0,2,2,1
181,MB16CC010,5,1,3,1,1,0,2,1,1
182,MB16CC010,4,2,0,6,1,0,2,1,1
183,MB16CC010,0,2,0,6,1,0,2,2,1
184,MB16CC010,5,7,2,1,1,0,2,2,1
185,MB16CC010,7,0,4,4,0,0,2,2,0
186,MB16CC010,5,7,0,1,1,0,2,2,1
187,MB16CC010,0,2,0,6,1,0,2,2,1
188,MB16CC010,7,0,4,4,0,3,3,0,0
189,MB16CC010,0,0,4,4,0,0,2,0,0
190,MB16CC010,0,7,0,4,0,0,2,2,0
191,MB16CC010,1,3,2,1,5,4,0,2,1
192,MB16CC010,1,3,2,1,5,4,0,2,1
193,MB16CC010,5,7,2,4,0,0,2,2,1
194,MB16CC010,1,3,2,4,0,4,0,2,1
195,MB16CC010,5,7,0,1,1,0,2,2,1
196,MB16CC010,1,3,1,3,5,4,0,2,1
197,MB16CC010,1,3,2,1,5,4,0,2,1
198,MB16CC010,3,1,3,1,2,1,1,1,1
199,MB16CC010,0,2,0,6,1,0,2,2,1
200,MB16CC010,7,0,4,3,0,4,0,2,0
201,MB16CC010,4,2,0,6,1,0,2,1,1
202,MB16CC010,1,1,3,1,1,1,1,1,1
203,MB16CC010,1,3,2,1,0,0,0,2,1
204,MB16CC010,5,7,2,1,1,0,2,2,1
205,MB16CC010,0,0,4,4,0,0,2,2,0
206,MB16CC010,5,7,2,1,1,0,2,2,1
207,MB16CC010,1,3,2,1,5,4,0,2,1
208,MB16CC010,5,7,0,6,1,0,2,2,1
209,MB16CC010,4,1,3,1,1,1,1,1,1
210,MB16CC010,5,7,2,1,1,0,2,2,1
211,MB16CC010,5,2,0,6,1,0,2,2,1
212,MB16CC010,1,3,2,1,1,0,0,2,1
213,MB16CC010,5,7,2,1,1,0,2,2,1
214,MB16CC010,7,0,4,4,0,0,2,2,0
215,MB16CC010,5,7,2,4,1,0,2,2,1
216,MB16CC010,1,3,2,1,1,4,0,2,1
217,MB16CC011,7,0,4,4,0,0,2,2,0
218,MB16CC011,5,7,2,1,1,0,2,2,1
219,MB16CC011,5,7,3,1,1,0,2,1,1
220,MB16CC011,4,2,0,6,1,0,2,1,1
221,MB16CC011,5,7,2,1,1,0,2,2,1
222,MB16CC011,5,7,0,1,1,0,2,2,1
223,MB16CC011,4,1,3,1,1,0,2,1,1
224,MB16CC011,0,7,0,4,0,0,2,2,0
225,MB16CC011,5,7,0,4,0,0,2,2,0
226,MB16CC011,5,7,2,1,1,0,2,2,1
227,MB16CC011,5,7,0,1,1,0,2,2,1
228,MB16CC011,0,2,0,6,1,2,2,2,0
229,MB16CC011,1,3,2,1,5,4,0,2,1
230,MB16CC011,4,2,0,6,1,0,2,1,1
231,MB16CC011,5,7,0,1,1,0,2,2,1
232,MB16CC011,5,7,2,1,1,0,2,2,1
233,MB16CC011,5,7,0,4,1,0,2,2,0
234,MB16CC011,5,7,2,1,1,0,2,2,1
235,MB16CC011,7,0,4,4,0,4,0,2,1
236,MB16CC011,3,1,3,1,2,1,1,1,1
237,MB16CC011,0,2,0,4,0,0,2,2,0
238,MB16CC011,1,3,2,1,5,4,0,2,1
239,MB16CC011,5,7,0,1,1,0,2,2,1
240,MB16CC011,5,7,2,1,1,0,2,2,1
241,MB16CC011,5,7,2,1,1,0,2,2,1
242,MB16CC011,5,7,2,1,1,0,2,2,1
243,MB16CC011,5,7,0,1,1,0,2,2,1
244,MB16CC011,5,7,2,1,1,0,2,2,1
245,MB16CC011,5,7,0,4,1,0,2,2,1
246,MB16CC011,1,7,2,1,0,0,0,2,1
247,MB16CC011,7,0,4,4,0,0,2,2,0
248,MB16CC011,5,7,2,1,1,0,2,2,1
249,MB16CC011,1,7,2,4,0,0,0,2,1
250,MB16CC011,5,7,2,1,1,0,2,2,1
251,MB16CC011,1,3,1,3,5,4,0,2,1
252,MB16CC011,0,2,0,4,1,0,2,2,0
253,MB16CC011,5,1,3,1,1,0,2,1,1
254,MB16CC011,5,7,2,1,1,0,2,2,1
255,MB16CC011,7,0,4,4,0,0,2,2,0
256,MB16CC011,0,2,0,4,4,2,2,0,0
257,MB16CC011,5,7,0,4,1,0,2,2,1
258,MB16CC011,0,2,0,6,1,2,2,2,0
259,MB16CC011,5,7,0,1,1,0,2,2,1
260,MB16CC011,5,7,0,1,1,0,2,2,1
261,MB16CC011,1,3,2,1,1,0,0,2,1
262,MB16CC011,7,0,4,4,0,0,0,2,0
263,MB16CC011,7,0,4,4,0,0,2,2,0
264,MB16CC011,5,7,0,4,1,0,2,2,1
265,MB16CC012,5,7,0,1,1,0,2,2,1
266,MB16CC012,1,3,2,1,5,4,0,2,1
267,MB16CC012,7,0,4,4,0,0,2,2,0
268,MB16CC012,5,7,0,4,1,0,2,2,1
269,MB16CC012,5,7,0,4,1,0,2,2,1
270,MB16CC012,5,7,2,1,1,0,2,2,1
271,MB16CC012,1,3,2,1,1,0,0,2,1
272,MB16CC012,1,3,2,1,0,4,0,2,1
273,MB16CC012,4,2,0,6,1,0,2,1,1
274,MB16CC012,0,7,0,4,0,0,2,2,0
275,MB16CC012,5,7,2,1,1,0,2,2,1
276,MB16CC012,5,7,0,6,1,0,2,2,1
277,MB16CC012,5,7,0,6,1,0,2,2,1
278,MB16CC012,5,7,0,4,1,0,2,2,1
279,MB16CC012,1,3,2,1,1,0,0,2,1
280,MB16CC012,0,2,0,6,1,2,2,2,0
281,MB16CC012,0,2,0,4,0,0,2,2,0
282,MB16CC012,4,1,3,6,2,2,1,1,1
283,MB16CC012,4,1,3,5,2,1,1,1,1
284,MB16CC012,1,3,2,1,5,4,0,2,1
285,MB16CC012,8,5,1,3,5,4,0,2,1
286,MB16CC012,0,2,0,6,4,2,2,1,1
287,MB16CC012,6,8,6,5,2,1,1,1,1
288,MB16CC012,5,1,3,1,1,0,2,1,1
289,MB16CC012,4,1,3,6,2,1,1,1,1
290,MB16CC012,1,3,2,1,5,4,0,2,1
291,MB16CC012,0,2,0,4,0,0,2,2,0
292,MB16CC012,5,7,0,4,0,0,2,2,0
293,MB16CC012,9,6,5,2,4,2,3,0,0
294,MB16CC012,3,3,1,3,5,4,0,2,1
295,MB16CC012,4,1,3,1,1,1,1,1,1
296,MB16CC012,3,1,3,5,2,1,1,1,1
297,MB16CC012,3,1,3,1,1,1,1,1,1
298,MB16CC012,1,3,2,1,1,0,0,2,1
299,MB16CC012,5,7,0,4,1,0,2,2,1
300,MB16CC012,5,7,2,1,1,0,2,2,1
301,MB16CC012,3,3,3,1,5,1,0,1,1
302,MB16CC012,5,7,2,1,1,0,2,2,1
303,MB16CC012,4,2,0,6,1,0,2,1,1
304,MB16CC012,5,2,0,6,1,0,2,2,1
305,MB16CC012,5,7,2,1,1,0,2,2,1
306,MB16CC012,7,0,4,4,0,0,2,2,0
307,MB16CC012,1,3,2,1,0,0,0,2,1
308,MB16CC012,1,3,2,1,0,0,0,2,1
309,MB16CC012,5,7,0,1,1,0,2,2,1
310,MB16CC013,5,7,0,1,1,0,2,2,1
311,MB16CC013,5,7,0,4,0,0,2,2,0
312,MB16CC013,3,5,6,5,5,1,1,1,1
313,MB16CC013,7,0,4,4,0,0,2,2,0
314,MB16CC013,5,7,2,1,1,0,2,2,1
315,MB16CC013,5,7,0,1,1,0,2,2,1
316,MB16CC013,5,7,0,4,0,0,2,2,0
317,MB16CC013,1,3,2,1,1,0,0,2,1
318,MB16CC013,5,7,0,6,1,0,2,2,1
319,MB16CC013,5,7,2,1,1,0,2,2,1
320,MB16CC013,5,7,0,1,1,0,2,2,1
321,MB16CC013,5,7,2,1,1,0,2,2,1
322,MB16CC013,5,7,0,1,1,0,2,2,1
323,MB16CC013,5,7,2,1,1,0,2,2,1
324,MB16CC013,5,7,0,1,1,0,2,2,1
325,MB16CC013,5,7,2,1,1,0,2,2,1
326,MB16CC013,5,7,0,1,1,0,2,2,1
327,MB16CC013,5,7,0,6,1,0,2,2,1
328,MB16CC013,5,7,2,1,1,0,2,2,1
329,MB16CC013,3,5,6,5,5,1,1,1,1
330,MB16CC013,5,7,2,1,1,0,2,2,1
